Geneid,SingleDST_18,SingleDST_20,SingleDST_22,Listeria_58,Listeria_61,Listeria_62,Listeria_66,Naive_11,Naive_16,Naive_38,Naive_56,Naive_82,Naive_85,Tolerant_34,Tolerant_36,Tolerant_68,Tolerant_70,Tolerant_72
ENSMUSG00000086939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ENSMUSG00000015087,1338,1486,1771,958,770,1289,644,1336,1394,1837,1111,748,1330,960,895,849,822,1818
ENSMUSG00000041660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
ENSMUSG00000074971,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
ENSMUSG00000083320,64,24,24,15,48,23,22,67,34,34,6,25,41,34,37,40,40,40
ENSMUSG00000074970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000034101,0,1,0,0,0,0,0,0,0,0,1,0,1,3,2,0,0,35
ENSMUSG00000052403,13,5,3,5,5,7,6,8,6,8,9,2,13,0,0,0,10,1
ENSMUSG00000038765,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ENSMUSG00000104403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
ENSMUSG00000052951,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
ENSMUSG00000081244,4,10,0,10,5,8,3,2,17,3,1,10,6,12,6,13,4,2
ENSMUSG00000085463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ENSMUSG00000026940,0,0,0,0,0,0,0,0,5,11,6,0,0,0,7,0,1,0
ENSMUSG00000101645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000086598,55,53,1,1,0,0,170,1,30,73,52,0,0,2,93,50,0,142
ENSMUSG00000038740,177,232,386,179,112,207,289,350,159,228,172,137,146,176,239,238,177,111
ENSMUSG00000086484,0,0,0,28,0,0,0,0,0,0,0,29,0,1,4,0,0,1
ENSMUSG00002075431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000026939,379,398,128,23,0,272,74,147,122,0,107,55,23,0,0,67,137,73
ENSMUSG00000085987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000086904,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
ENSMUSG00000041644,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,1,0,0
ENSMUSG00000087461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000027544,1907,2813,3114,938,787,1191,889,1139,729,949,1176,430,1298,1102,1710,1290,1432,1328
ENSMUSG00000076437,4030,3077,4455,2721,3395,4648,3093,3726,2912,2826,2834,2355,3469,3814,4322,6937,4733,3341
ENSMUSG00000026938,200,550,368,18,0,0,59,117,36,121,134,485,38,299,0,14,685,0
ENSMUSG00000118473,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
ENSMUSG00000036449,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
ENSMUSG00000074968,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,14
ENSMUSG00000050043,3704,3169,3409,4254,2793,5275,2946,2853,4734,1930,3370,3834,3609,5362,2472,3284,4016,2081
ENSMUSG00000026937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000027080,1254,1234,1030,1477,1446,1657,1346,1270,1148,1127,1031,1208,1364,2926,937,1450,1682,1816
ENSMUSG00000050808,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000038718,33,135,38,170,130,84,15,49,0,23,104,43,6,14,4,67,18,189
ENSMUSG00000079171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000079170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000084908,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0
ENSMUSG00000079169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000045684,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
ENSMUSG00000047356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000027157,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
ENSMUSG00000034075,637,772,844,667,823,780,505,869,970,1112,681,299,604,1948,2219,430,707,1583
ENSMUSG00000084094,1,3,1,0,5,2,0,4,10,3,3,6,0,5,1,3,4,8
ENSMUSG00000062061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
